P1,P2,PointServer,PointWinner,P1Score,P2Score,SetNo
Denis Gremelmayr,Nikolay Davydenko,1,1,30,40,3
Denis Gremelmayr,Nikolay Davydenko,1,2,0,0,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,15,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,30,3
Denis Gremelmayr,Nikolay Davydenko,2,1,15,30,3
Denis Gremelmayr,Nikolay Davydenko,2,2,15,40,3
Denis Gremelmayr,Nikolay Davydenko,2,2,0,0,3
Sam Querrey,Philipp Kohlschreiber,0,0,0,0,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,15,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,30,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,40,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,0,1
Sam Querrey,Philipp Kohlschreiber,1,1,15,0,1
Sam Querrey,Philipp Kohlschreiber,1,1,30,0,1
Sam Querrey,Philipp Kohlschreiber,1,2,30,15,1
Sam Querrey,Philipp Kohlschreiber,1,2,30,30,1
Sam Querrey,Philipp Kohlschreiber,1,1,40,30,1
Sam Querrey,Philipp Kohlschreiber,1,1,0,0,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,15,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,30,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,40,1
Sam Querrey,Philipp Kohlschreiber,2,1,15,40,1
Sam Querrey,Philipp Kohlschreiber,2,2,0,0,1
Sam Querrey,Philipp Kohlschreiber,1,1,15,0,1
Sam Querrey,Philipp Kohlschreiber,1,2,15,15,1
Sam Querrey,Philipp Kohlschreiber,1,2,15,30,1
Sam Querrey,Philipp Kohlschreiber,1,2,15,40,1
